iter	Passed	Remaining
0	887	1774992
1	1741	1739683
2	2708	1803153
3	3651	1821896
4	4567	1822339
5	5484	1822776
6	6358	1810235
7	7283	1813537
8	8261	1827637
9	9303	1851340
10	10186	1841887
11	11135	1844830
12	12060	1843405
13	12968	1839701
14	14034	1857179
15	14966	1855803
16	15900	1854766
17	16770	1846662
18	17711	1846707
19	18562	1837722
20	19666	1853365
21	20887	1877980
22	21837	1877099
23	22783	1875823
24	23960	1892866
25	24917	1891781
26	25928	1894722
27	27166	1913304
28	28375	1928533
29	29550	1940490
30	30803	1956518
31	31878	1960510
32	33112	1973681
33	34110	1972361
34	35080	1969495
35	36136	1971440
36	37519	1990539
37	38524	1989063
38	40349	2028852
39	41511	2034063
40	42936	2051548
41	44482	2073721
42	46014	2094189
43	47642	2117931
44	48919	2125296
45	50176	2131393
46	51528	2141166
47	52637	2140584
48	53809	2142498
49	55087	2148402
50	56444	2157065
51	57467	2152836
52	58372	2144346
53	59619	2148512
54	60927	2154605
55	62096	2155628
56	62971	2146562
57	64218	2150216
58	65651	2159818
59	67221	2173507
60	68833	2188006
61	70081	2190604
62	71550	2199882
63	72822	2202882
64	73937	2201061
65	75349	2207958
66	76472	2206282
67	77610	2205043
68	79099	2213645
69	80474	2218785
70	81948	2226458
71	83692	2241097
72	85710	2262518
73	87011	2264659
74	88227	2264497
75	89573	2267632
76	90910	2270393
77	92626	2282416
78	93877	2282760
79	95393	2289451
80	96430	2284557
81	97790	2287333
82	99186	2290839
83	100245	2286556
84	101280	2281795
85	102647	2284514
86	103673	2279619
87	104773	2276452
88	106147	2279190
89	107209	2275225
90	107976	2265129
91	108897	2258432
92	109906	2253672
93	111553	2261933
94	112691	2259762
95	114024	2261483
96	114866	2253514
97	115941	2250214
98	117137	2249282
99	118258	2246905
100	119659	2249839
101	120394	2240273
102	121381	2235548
103	122239	2228513
104	123324	2225715
105	124818	2230243
106	126675	2241096
107	128256	2246870
108	129503	2246715
109	130932	2249655
110	132521	2255248
111	133986	2258628
112	135064	2255451
113	136071	2251149
114	137455	2253079
115	138292	2246059
116	139261	2241278
117	140174	2235663
118	141489	2236486
119	142308	2229506
120	143194	2223649
121	144360	2222205
122	145407	2218937
123	146440	2215508
124	147248	2208732
125	148153	2203490
126	149294	2201801
127	151209	2211438
128	152317	2209195
129	153605	2209555
130	154721	2207443
131	156146	2209709
132	157280	2207839
133	158643	2209169
134	159585	2204645
135	160495	2199733
136	161412	2194975
137	162705	2195344
138	163944	2194968
139	164814	2189677
140	165692	2184550
141	166635	2180337
142	167587	2176293
143	168568	2172654
144	169359	2166635
145	170200	2161310
146	171130	2157178
147	172138	2154060
148	173233	2152052
149	174640	2153903
150	175493	2148929
151	176700	2148304
152	177920	2147834
153	179052	2146298
154	180020	2142822
155	180854	2137789
156	182559	2143037
157	184032	2145494
158	185285	2145349
159	186621	2146143
160	187662	2143546
161	188486	2138505
162	189798	2139013
163	191019	2138487
164	192519	2141055
165	193679	2139813
166	194804	2138185
167	195651	2133528
168	196457	2128486
169	197381	2124753
170	198453	2122636
171	199379	2118982
172	200479	2117205
173	201531	2114925
174	202459	2111367
175	203328	2107222
176	204484	2106077
177	206003	2108638
178	206967	2105516
179	208152	2104648
180	209035	2100748
181	210409	2101786
182	211406	2099047
183	212146	2093789
184	212927	2088990
185	213774	2084873
186	215763	2091870
187	216545	2087129
188	217947	2088371
189	219037	2086622
190	220176	2085338
191	221221	2083168
192	222337	2081676
193	223558	2081167
194	224433	2077444
195	225534	2075838
196	226339	2071522
197	227306	2068721
198	228516	2068128
199	230094	2070854
200	230850	2066173
201	231622	2061670
202	232363	2056927
203	233218	2053238
204	234099	2049800
205	235159	2047938
206	235969	2043929
207	237448	2045710
208	238666	2045226
209	239504	2041493
210	240555	2039587
211	241743	2038856
212	243176	2040174
213	244191	2037969
214	245140	2035233
215	246176	2033235
216	247237	2031450
217	248197	2028842
218	249055	2025423
219	250276	2024967
220	251849	2027331
221	253318	2028831
222	254138	2025132
223	255004	2021820
224	255762	2017684
225	256653	2014616
226	257461	2010924
227	258699	2010591
228	259647	2008017
229	260984	2008443
230	262155	2007588
231	262982	2004110
232	264370	2004900
233	265282	2002089
234	266046	1998179
235	267783	2001564
236	268635	1998332
237	269672	1996480
238	270478	1992943
239	271308	1989597
240	272265	1987201
241	273174	1984465
242	274204	1982623
243	275084	1979708
244	276009	1977131
245	277001	1975041
246	278027	1973205
247	279099	1971706
248	280416	1971927
249	281303	1969124
250	282370	1967593
251	283264	1964869
252	284157	1962149
253	285091	1959722
254	286031	1957351
255	286848	1954155
256	287875	1952403
257	289093	1951940
258	290002	1949398
259	292470	1957303
260	293419	1955006
261	294669	1954716
262	296204	1956303
263	297268	1954768
264	298311	1953093
265	299295	1951046
266	300051	1947525
267	302050	1952058
268	302990	1949728
269	303784	1946469
270	305534	1949335
271	306507	1947222
272	307514	1945337
273	308445	1942979
274	310583	1948207
275	311594	1946337
276	312629	1944624
277	313694	1943097
278	314778	1941700
279	317198	1948507
280	318277	1947042
281	319210	1944694
282	320359	1943666
283	321522	1942718
284	322807	1942509
285	323831	1940725
286	324844	1938880
287	326137	1938708
288	327179	1937035
289	328159	1935010
290	329107	1932797
291	330158	1931201
292	331205	1929583
293	332263	1928034
294	333356	1926686
295	334437	1925272
296	335394	1923153
297	336919	1924286
298	338041	1923103
299	338846	1920129
300	340013	1919214
301	340797	1916142
302	341515	1912710
303	342245	1909371
304	342983	1906088
305	343745	1902958
306	344696	1900883
307	345632	1898736
308	346367	1895490
309	347286	1893273
310	348070	1890327
311	348895	1887615
312	349806	1885377
313	350639	1882733
314	351824	1881980
315	352597	1879034
316	353319	1875823
317	354118	1873041
318	355131	1871398
319	356268	1870409
320	358456	1874917
321	359339	1872581
322	360404	1871199
323	361498	1869971
324	362496	1868253
325	363309	1865583
326	364205	1863349
327	365143	1861343
328	366519	1861561
329	367383	1859184
330	368184	1856494
331	368984	1853811
332	369832	1851386
333	370667	1848895
334	371522	1846523
335	372442	1844477
336	373635	1843788
337	374661	1842270
338	375444	1839568
339	376240	1836937
340	376972	1834011
341	377789	1831504
342	378718	1829552
343	379631	1827528
344	380581	1825689
345	381744	1824872
346	382836	1823715
347	383655	1821259
348	384590	1819366
349	385502	1817368
350	386647	1816470
351	387577	1814565
352	388505	1812657
353	389363	1810431
354	390554	1809754
355	391727	1808989
356	393896	1812806
357	394863	1811079
358	395839	1809394
359	397256	1809723
360	398158	1807703
361	399131	1806014
362	400031	1803997
363	400837	1801567
364	401772	1799720
365	402682	1797768
366	403601	1795862
367	404887	1795588
368	405956	1794347
369	406918	1792642
370	407762	1790420
371	408900	1789490
372	409796	1787504
373	410565	1784970
